datetime	lat	long	alt	vel_x	vel_y	vel_z	acc_x	elevation	source	location	vehicle	device	freq	sig_strength	sig_strength_Dbm		
35:43.5	33.14975325	-116.658282	30.5447998	2.114374399	-4.236607552	0.162643373		30.5447998	0	1	0	0	470.309	-21.005281	-69.12506269		
35:45.9	33.14980049	-116.6583901	30.92346191	1.864071846	-3.765815735	0.08956039		30.92346191	0	1	0	0	470.309	-17.640352	-65.73994411		
35:48.3	33.1498358	-116.6584926	30.75561523	1.395332456	-3.713733673	0.021088574		30.75561523	0	1	0	0	470.309	-20.353485	-68.46935591		
35:50.7	33.14986629	-116.6585945	30.84521484	1.082784772	-3.280014038	-0.151619405		30.84521484	0	1	0	0	470.309	-21.410536	-69.53274922		
35:53.1	33.1499017	-116.6586863	30.89416504	1.91583252	-3.433681488	-0.172742203		30.89416504	0	1	0	0	470.309	-20.354012	-68.46988607		
35:55.5	33.14995068	-116.65878	30.67114258	2.528797865	-4.088265896	-0.147786513		30.67114258	0	1	0	0	470.309	-16.664274	-64.75800964		
35:57.9	33.15000452	-116.6588908	30.71313477	2.218572378	-4.273240566	0.114552684		30.71313477	0	1	0	0	470.309	-20.561497	-68.67861598		
36:00.3	33.1500498	-116.6590166	30.81018066	2.126793385	-5.081967354	0.079895243		30.81018066	0	1	0	0	470.309	-19.68041	-67.79224246		
36:02.7	33.15009615	-116.6591294	30.81604004	1.999132991	-4.066987514	-0.164714515		30.81604004	0	1	0	0	470.309	-19.277191	-67.38660415		
36:05.0	33.15015182	-116.6592602	30.92834473	3.205989838	-6.660622597	-0.328040123		30.92834473	0	1	0	0	470.309	-16.325298	-64.41699979		
36:07.4	33.15022312	-116.6594718	30.81311035	3.530505419	-9.363997459	-0.291729182		30.81311035	0	1	0	0	470.309	-20.878601	-68.99762261		
36:09.8	33.15030157	-116.659719	30.78430176	4.02196455	-9.988409996	-0.104939684		30.78430176	0	1	0	0	470.309	-18.988617	-67.0962987		
36:12.2	33.1503924	-116.6599801	30.74841309	4.669752598	-10.33061695	-0.122549094		30.74841309	0	1	0	0	470.309	-22.002319	-71.17128377		
